"NMI","NMI_Configuration","NMI_Suffix","MDM_Id","Value","UOM","Reading_Date","Quality_Method"
"4103693793","E1K1Q1","K1",,"2.88","KVARH","11/02/2016 15:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 15:00","A"
"4103693793","E1K1Q1","E1","N1","10.314","KWH","11/02/2016 15:15","A"
"4103693793","E1K1Q1","K1",,"2.898","KVARH","11/02/2016 15:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 15:15","A"
"4103693793","E1K1Q1","E1","N1","10.188","KWH","11/02/2016 15:30","A"
"4103693793","E1K1Q1","K1",,"2.862","KVARH","11/02/2016 15:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 15:30","A"
"4103693793","E1K1Q1","E1","N1","9.948","KWH","11/02/2016 15:45","A"
"4103693793","E1K1Q1","K1",,"2.85","KVARH","11/02/2016 15:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 15:45","A"
"4103693793","E1K1Q1","E1","N1","9.012","KWH","11/02/2016 16:00","A"
"4103693793","E1K1Q1","K1",,"2.79","KVARH","11/02/2016 16:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 16:00","A"
"4103693793","E1K1Q1","E1","N1","8.256","KWH","11/02/2016 16:15","A"
"4103693793","E1K1Q1","K1",,"2.664","KVARH","11/02/2016 16:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 16:15","A"
"4103693793","E1K1Q1","E1","N1","8.088","KWH","11/02/2016 16:30","A"
"4103693793","E1K1Q1","K1",,"2.682","KVARH","11/02/2016 16:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 16:30","A"
"4103693793","E1K1Q1","E1","N1","7.824","KWH","11/02/2016 16:45","A"
"4103693793","E1K1Q1","K1",,"2.7","KVARH","11/02/2016 16:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 16:45","A"
"4103693793","E1K1Q1","E1","N1","8.076","KWH","11/02/2016 17:00","A"
"4103693793","E1K1Q1","K1",,"2.7","KVARH","11/02/2016 17:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 17:00","A"
"4103693793","E1K1Q1","E1","N1","8.466","KWH","11/02/2016 17:15","A"
"4103693793","E1K1Q1","K1",,"2.742","KVARH","11/02/2016 17:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 17:15","A"
"4103693793","E1K1Q1","E1","N1","8.484","KWH","11/02/2016 17:30","A"
"4103693793","E1K1Q1","K1",,"2.694","KVARH","11/02/2016 17:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 17:30","A"
"4103693793","E1K1Q1","E1","N1","8.448","KWH","11/02/2016 17:45","A"
"4103693793","E1K1Q1","K1",,"2.724","KVARH","11/02/2016 17:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 17:45","A"
"4103693793","E1K1Q1","E1","N1","8.472","KWH","11/02/2016 18:00","A"
"4103693793","E1K1Q1","K1",,"2.79","KVARH","11/02/2016 18:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 18:00","A"
"4103693793","E1K1Q1","E1","N1","7.92","KWH","11/02/2016 18:15","A"
"4103693793","E1K1Q1","K1",,"2.76","KVARH","11/02/2016 18:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 18:15","A"
"4103693793","E1K1Q1","E1","N1","7.632","KWH","11/02/2016 18:30","A"
"4103693793","E1K1Q1","K1",,"2.724","KVARH","11/02/2016 18:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 18:30","A"
"4103693793","E1K1Q1","E1","N1","7.554","KWH","11/02/2016 18:45","A"
"4103693793","E1K1Q1","K1",,"2.712","KVARH","11/02/2016 18:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 18:45","A"
"4103693793","E1K1Q1","E1","N1","7.542","KWH","11/02/2016 19:00","A"
"4103693793","E1K1Q1","K1",,"2.706","KVARH","11/02/2016 19:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 19:00","A"
"4103693793","E1K1Q1","E1","N1","7.53","KWH","11/02/2016 19:15","A"
"4103693793","E1K1Q1","K1",,"2.718","KVARH","11/02/2016 19:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 19:15","A"
"4103693793","E1K1Q1","E1","N1","8.334","KWH","11/02/2016 19:30","A"
"4103693793","E1K1Q1","K1",,"2.778","KVARH","11/02/2016 19:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 19:30","A"
"4103693793","E1K1Q1","E1","N1","8.46","KWH","11/02/2016 19:45","A"
"4103693793","E1K1Q1","K1",,"2.784","KVARH","11/02/2016 19:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 19:45","A"
"4103693793","E1K1Q1","E1","N1","8.466","KWH","11/02/2016 20:00","A"
"4103693793","E1K1Q1","K1",,"2.826","KVARH","11/02/2016 20:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 20:00","A"
"4103693793","E1K1Q1","E1","N1","8.268","KWH","11/02/2016 20:15","A"
"4103693793","E1K1Q1","K1",,"2.808","KVARH","11/02/2016 20:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 20:15","A"
"4103693793","E1K1Q1","E1","N1","7.638","KWH","11/02/2016 20:30","A"
"4103693793","E1K1Q1","K1",,"2.7","KVARH","11/02/2016 20:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 20:30","A"
"4103693793","E1K1Q1","E1","N1","7.494","KWH","11/02/2016 20:45","A"
"4103693793","E1K1Q1","K1",,"2.712","KVARH","11/02/2016 20:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 20:45","A"
"4103693793","E1K1Q1","E1","N1","7.488","KWH","11/02/2016 21:00","A"
"4103693793","E1K1Q1","K1",,"2.712","KVARH","11/02/2016 21:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 21:00","A"
"4103693793","E1K1Q1","E1","N1","7.536","KWH","11/02/2016 21:15","A"
"4103693793","E1K1Q1","K1",,"2.718","KVARH","11/02/2016 21:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 21:15","A"
"4103693793","E1K1Q1","E1","N1","7.506","KWH","11/02/2016 21:30","A"
"4103693793","E1K1Q1","K1",,"2.724","KVARH","11/02/2016 21:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 21:30","A"
"4103693793","E1K1Q1","E1","N1","7.518","KWH","11/02/2016 21:45","A"
"4103693793","E1K1Q1","K1",,"2.682","KVARH","11/02/2016 21:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 21:45","A"
"4103693793","E1K1Q1","E1","N1","7.548","KWH","11/02/2016 22:00","A"
"4103693793","E1K1Q1","K1",,"2.676","KVARH","11/02/2016 22:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 22:00","A"
"4103693793","E1K1Q1","E1","N1","7.47","KWH","11/02/2016 22:15","A"
"4103693793","E1K1Q1","K1",,"2.676","KVARH","11/02/2016 22:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 22:15","A"
"4103693793","E1K1Q1","E1","N1","7.53","KWH","11/02/2016 22:30","A"
"4103693793","E1K1Q1","K1",,"2.7","KVARH","11/02/2016 22:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 22:30","A"
"4103693793","E1K1Q1","E1","N1","8.064","KWH","11/02/2016 22:45","A"
"4103693793","E1K1Q1","K1",,"2.706","KVARH","11/02/2016 22:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 22:45","A"
"4103693793","E1K1Q1","E1","N1","8.232","KWH","11/02/2016 23:00","A"
"4103693793","E1K1Q1","K1",,"2.676","KVARH","11/02/2016 23:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 23:00","A"
"4103693793","E1K1Q1","E1","N1","8.262","KWH","11/02/2016 23:15","A"
"4103693793","E1K1Q1","K1",,"2.712","KVARH","11/02/2016 23:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 23:15","A"
"4103693793","E1K1Q1","E1","N1","7.536","KWH","11/02/2016 23:30","A"
"4103693793","E1K1Q1","K1",,"2.664","KVARH","11/02/2016 23:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 23:30","A"
"4103693793","E1K1Q1","E1","N1","7.32","KWH","11/02/2016 23:45","A"
"4103693793","E1K1Q1","K1",,"2.652","KVARH","11/02/2016 23:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 23:45","A"
"4103693793","E1K1Q1","E1","N1","7.338","KWH","12/02/2016 0:00","A"
"4103693793","E1K1Q1","K1",,"2.658","KVARH","12/02/2016 0:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 0:00","A"
"4103693793","E1K1Q1","E1","N1","7.41","KWH","12/02/2016 0:15","A"
"4103693793","E1K1Q1","K1",,"2.676","KVARH","12/02/2016 0:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 0:15","A"
"4103693793","E1K1Q1","E1","N1","7.644","KWH","12/02/2016 0:30","A"
"4103693793","E1K1Q1","K1",,"2.73","KVARH","12/02/2016 0:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 0:30","A"
"4103693793","E1K1Q1","E1","N1","7.638","KWH","12/02/2016 0:45","A"
"4103693793","E1K1Q1","K1",,"2.706","KVARH","12/02/2016 0:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 0:45","A"
"4103693793","E1K1Q1","E1","N1","7.608","KWH","12/02/2016 1:00","A"
"4103693793","E1K1Q1","K1",,"2.706","KVARH","12/02/2016 1:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","12/02/2016 1:00","A"
"4103693793","E1K1Q1","E1","N1","7.626","KWH","12/02/2016 1:15","A"
